,AKA Name,Facility Type,Risk,Address,Zip,Year,Inspection Type,Results,Violations,Latitude,Longitude
2397,CHIM THAI CUISINE,Restaurant,Risk 1 (High),3254 W MONTROSE AVE ,60618.0,2022,License,Fail,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO WRITTEN POLICY AND PROCEDURE FOR HANDLING VOMIT AND DIARRHEA CLEAN-UP ON PREMISES. INSTRUCTED TO KEEP A WRITTEN POLICY AND PROCEDURE IN PLACE FOR HANDLING VOMIT AND DIARRHEA AND THE NECESSARY ITEMS OUTLINED IN THE POLICY ON PREMISES. PRIORITY FOUNDATION VIOLATION, 7-38-005. NO CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED METAL SHELVING PLACEMENT IN REAR KITCHEN PREP AREA MAKING IT DIFFICULT TO USE HAND SINK IN THE REAR KITCHEN PREP AREA. ALSO OBSERVED A HANDWASHING SINK PLACED IN THE FRONT COUNTER AREA INSTEAD OF NEAR FRONT BEVERAGE BAR PREP/UTENSIL WASH AREA AT THE TIME OF INSPECTION. INSTRUCTED TO MOVE SHELVING UNIT TO ALLOW EASIER ACCESS TO HANDWASHING STATION IN THE REAR KITCHEN PREP AREA AND INSTRUCTED TO MOVE PLACEMENT OF HANDWASHING STATION TO THE FRONT BEVERAGE AREA SO THAT EMPLOYEES CAN ACCESS THE HAND WASHING STATION. PRIORITY FOUNDATION VIOLATION, 7-38-030(C). NO CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED PAPERTOWELS AND HANDSOAP AT THE THREE COMPARTMENT SINK LOCATED IN THE FRONT BEVERAGE AREA AT THE TIME OF INSPECTION. INSTRUCTED TO REMOVE HANDSOAP AND PAPERTOWELS FROM THREE COMPARTMENT SINK IN THE BEVERAGE AREA. | 16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED LOW TEMPERATURE DISHWASHER MACHINE NOT PROPERLY DISTRIBUTING SANITIZING SOLUTION. 0 PPM AVAILABLE CHLORINE READING ON TEST STRIP. ALSO OBSERVED TWO TYPES OF SANITIZING SOLUTION BEING USED IN DISHWASHER MACHINE. INSTRUCTED TO HAVE THE DISHWASHER MACHINE SERVICED TO FIX THE MACHINE NOT DISTRIBUTING SANITIZER AND TO USE THE SANITIZER THAT COMES WITH THE MACHINE. PRIORITY VIOLATION, 7-38-005. NO CITATION ISSUED. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: ICE MACHINE POSITIONED UNDER SINK DRAIN LINES IN BASEMENT.  MUST MOVE ICE MACHINE FROM UNDER DRAIN LINES. | 45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments: OBSERVED ICE SCOOPER STORED UNDER ICE INSIDE ICE MACHINE AT THE TIME OF INSPECTION. INSTRUCTED TO STORE ICE SCOOP IN A CLEAN, COVERED CONTAINER. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED BLACK SLIME FORMATION IN ICE MACHINE IN THE BASEMENT. INSTRUCTED TO REMOVE FROM MACHINE AND DEEP CLEAN THE ICE MACHINE AND KEEP CLEAN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: NO GREASTRAP INSTALLED AT BEVERAGE BAR (Coffee drinks, fruit smoothies etc.) 3 COMPARTMENT SINK. MUST INSTALL GREASETRAP. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: REAR 3 COMPARTMENT SINK FAUCET DOES NOT REACH LEFT COMPARTMENT, ONLY A SPRAYER THAT CANNOT BE POSITIONED OVER COMPARTMENT. MUST INSTALL LONGER FAUCET NECK. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW DEVICE NOT LOCATABLE ON UTILITY SINK AND ADJACENT HOSE BIB IN BASEMENT. INSTRUCTED TO HAVE AND MAINTAIN BACK FLOW DEVICES ON UTILITY SINK AND HOSE BIB. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: TOILET ROOM DOORS ARE NOT SELF-CLOSING.  MUST INSTALL SELF-CLOSING DEVICES. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED NO ALLERGEN TRAINING CERTIFICATE AT TIME OF INSPECTION. INSTRUCTED TO OBTAIN ALLERGEN TRAINING CERTIFICATE AND KEEP ON PREMISES.",41.96127135,-87.71046267
2398,HAROLD'S CHICKEN SHACK #27,Restaurant,Risk 2 (Medium),10259 S HALSTED ST ,60628.0,2022,Complaint Re-Inspection,Pass,,41.70701074,-87.64269047
2399,CAFE SOPHIE,Restaurant,Risk 3 (Low),847 N STATE ST ,60610.0,2022,License,Pass,,41.8980264,-87.62808951
2402,WHITE CASTLE #63,Restaurant,Risk 2 (Medium),2140 S WABASH AVE ,60616.0,2022,Complaint,Fail,"16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: INTERIOR OF REACH IN COOLERS IN NEED OF DETAIL CLEANING TO REMOVE ALL BUILD UP. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: REAR DELIVERY DOOR NOT RODENT PROOFED. SMALL GAP AT BOTTOM OF DOOR. INSTRUCTED TO CORRECT AND MAINTAIN.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: RUBBER GASKETS ON REACH IN FRY AND ONION RING COOLER IN NEED OF DETAIL CLEANING OR REPLACING. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: ALL COOKING EQUIPMENT IN NEED OF DETAIL CLEANING TO REMOVE ALL GREASE BUILD UP. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN.  | 50. HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE - Comments: 3 HANDSINKS ON SITE ARE AT IMPROPER HOT WATER TEMPERSTURE OF 78-83 DEGREES. WATER PRESSURE IS VERY LOW ON SINKS. AUTOMATIC FAUCETS DO NOT ALLOW WATER TO FLOW FREELY. HANDSINK MUST BE AT 110 DEGREES TO PROPERLY WASH HANDS.   INSTRUCTED TO REPAIR AND MAINTAIN PRIORITY VIOLATION 7-38-030(C) CITATION ISSUED | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: TRASH CAN IN WASHROOM IN NEED OF COVER. INSTRUCTED TO PROVIDE LID AND MAINTAIN COVERED  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS AND WALLS IN NEED OF DETAIL CLEANING TO REMOVE ALL BUILD UP IN CORNERS AND WALL BASES. INSTRUCTED TO CLEAN AND MAINTAIN. ",41.85298026,-87.62564847
2403,RAMEN TAKEYA,Restaurant,Risk 1 (High),819 W FULTON ,60607.0,2022,Canvass Re-Inspection,Pass,,41.88668123,-87.64835209
2404,PEPE'S TACO,Restaurant,Risk 1 (High),2 E 112TH PL ,60628.0,2022,Canvass,Fail,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNS AT HAND WASHING SINKS IN REAR PREP AREA, MEN AND WOMEN WASHROOMS. INSTRUCTED MANAGER TO PROVIDE HAND WASHING SIGNS AT ALL HAND WASHING SINKS USED BY EMPLOYEES. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OVER 50 MICE DROPPINGS SCATTERED ON SHELVING UNITS, 10 MICE DROPPINGS SCATTERED ON CARDBOARD BOXES, 10 MICE DROPPINGS SCATTERED ON MULTI-USE LIDS, 10 MICE DROPPINGS SCATTERED ON FLOOR NEAR WATER HEATER AND CARBON DIOXIDE TANKS, 20 MICE DROPPINGS SCATTERED ON FLOOR UNDER SHELVING UNITS AND ALONG WALLS IN FRONT BEVERAGE PREP AREA. INSTRUCTED MANAGER TO CALL AN EXTERMINATOR FOR SERVICE, CLEAN AND SANITIZE ALL AREAS. PRIORITY FOUNDATION 7-38-020(A) CITATION ISSUED. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: OBSERVED ICE SCOOP LAYING ON ICE IN ICE BIN. INSTRUCTED MANAGER TO STORE HANDLE UP TO PREVENT CONTAMINATION. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE IN WOMEN WASHROOM. INSTRUCTED MANAGER TO PROVIDE. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED FRONT LID MISSING ON OUTSIDE GARBAGE DUMPSTER. INSTRUCTED MANAGER TO REPLACE MISSING LID ON DUMPSTER, LIDS SHALL BE TIGHT-FITTING. OBSERVED GREASE SPILLED ON GROUND AND TOP OF CONTAINER IN OUTSIDE GARBAGE AREA. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. PRIORITY FOUNDATION 7-38-020(B) CITATION ISSUED  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING AND DAMAGED WALL TILES IN MEN AND WOMEN WASHROOMS. INSTRUCTED MANAGER TO REPLACE AND MAINTAIN. | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: OBSERVED NO MASK REQUIRED SIGNAGE INSIDE BUSINESS. INSTRUCTED MANAGER TO POST MASK REQUIREMENT SIGNAGE AT LEAST ONE LOCATION INSIDE BUSINESS. PUBLIC HEALTH ORDER 2-112-340 | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: OBSERVED NO WRITTEN PROTOCOL FOR IMPLEMENTING AND ENFORCING VACCINATION STATUS FOR DINE-IN CUSTOMERS. INSTRUCTED MANAGER TO PROVIDE. PUBLIC HEALTH ORDER 2-112-340 | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: OBSERVED NO PROCEDURE OR RECORDS RELATING TE EMPLOYEE VACCINATION STATUS OR WEEKLY TESTING. INSTRUCTED MANAGER TO PROVIDE. PUBLIC HEALTH ORDER 2-112-340",41.68997809,-87.62292566
2405,NICK'S GYROS,Restaurant,Risk 1 (High),2011 W 63RD ST ,60636.0,2022,Canvass,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGN AT HAND WASHING SINKS IN PREP AND WASHROOM AREAS. INSTRUCTED MANAGER TO PROVIDE HAND WASHING SIGNS AT ALL HAND WASHING SINKS USED BY EMPLOYEES. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ITEMS STORED ON FLOOR IN WALK-IN FREEZER. INSTRUCTED MANAGER TO ELEVATE ALL ITEMS SIX INCHES OFF FLOOR. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: OBSERVED SOILED WIPING CLOTHS STORED ON PREP TABLES. INSTRUCTED MANAGER TO STORE WIPING CLOTHS IN SANITIZING SOLUTION BETWEEN USES. | 45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments: OBSERVED SINGLE SERVICE ARTICLES NOT INVERTED. INSTRUCTED MANAGER TO INVERT ALL SINGLE SERVICE ARTICLES TO PROTECT FROM CONTAMINATION. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RAW WOOD SHELVING IN DRY STORAGE AREA. INSTRUCTED MANAGER TO SEAL ALL RAW SHELVING TO MAKE SMOOTH AND EASILY CLEANABLE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLES IN STAFF AND WOMEN CUSTOMER WASHROOMS. INSTRUCTED MANAGER TO PROVIDE. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO VALID FOOD HANDLER TRAINING AVAILABLE. INSTRUCTED MANAGER TO PROVIDE VALID FOOD HANDLER TRAINING FOR ALL EMPLOYEES.",41.77919934,-87.67441843
2406,ClimbZone,Restaurant,Risk 3 (Low),2500 W BRADLEY PL ,60618.0,2022,License,Fail,,41.9495758,-87.69089237
2407,SALADS UP,Restaurant,Risk 1 (High),205 W WACKER DR ,60606.0,2022,License,Fail,"16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED LOW TEMPERATURE DISH MACHINE UTILIZING CHLORINE SANITIZING SOLUTION TO BE AT A CONCENTRATION OF 0 PPM. INSTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN, MUST PROVIDE A MINIMUM SANITIZING SOLUTION OF 50 - 100 PPM. PRIORITY FOUNDATION VIOLATION.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED PREP COOLERS IN FRONT PREP AREA WITHOUT INTERNAL THERMOMETERS FOR MEASURING AMBIENT AIR TEMPERATURES. INSTRUCTED PERSON IN CHARGE TO PROVIDE AND MAINTAIN.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CUTTING BOARDS STAINED WITH DEEP DARK GROOVES AND EXCESSIVE WEAR. INSTRUCTED PERSON IN CHARGE TO RESURFACE/OR REPLACE AND MAINTAIN. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED BLACK TRASH BAGS AROUND GARBAGE DUMPSTER IN REAR ALLEY AREA. INSTRUCTED PERSON IN CHARGE TO REMOVE AND MAINTAIN AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BUILD UP OF DUST ON CEILING TILES OVER FOOD PREPARATION AREA. OBSERVED FOOD DEBRIS IN WALK IN ON FLOOR. OBSERVED EXCESSIVE BUILD UP IN HANDWASHING SINK IN REAR PREP AREA. INSTRUCTED PERSON IN CHARGE TO CLEAN ALL SAID AREAS AND MAINTAIN. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED CITY OF CHICAGO CERTIFIED MANAGER ON SITE WITH NO ALLERGEN CERTIFICATE. INSTRUCTED PERSON IN CHARGE TO PROVIDE AND MAINTAIN.",41.8867073,-87.63415039
2408,ORIGINAL ALPS,Restaurant,Risk 1 (High),3637 W IRVING PARK RD ,60618.0,2022,Canvass,Fail,"25. CONSUMER ADVISORY PROVIDED FOR RAW/UNDERCOOKED FOOD - Comments: FOUND IN-COMPLETE CONSUMER ADVISORY DISCLOSURE AND REMINDER STATEMENT ON THE MENUS.INSTRUCTED TO DISCLOSE WHICH FOODS CAN BE ORDERED 'RAW' OR UNDER COOKED AND LINK THOSE FOODS WITH AN ASTERISK (*) TO A REMINDER STATEMENT THAT STATES THAT EATING RAW OR UNDER COOKED FOODS CAN INCREASE YOUR RISK OF FOOD BORNE ILLNESS.PRIORITY FOUNDATION VIOLATION 7-38-005 | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETER INSIDE KITCHEN 2 DOOR PREP-LINE COOLER NEXT TO HOT HOLDING UNIT.INSTRUCTED TO PROVIDE AND MAINTAIN A VISIBLE THERMOMETER IN COOLER. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CHIPPED PAINT AND RUST ON THE WIRE STORAGE RACKS IN THE WALK-IN COOLER.INSTRUCTED TO REMOVE CHIPPED PAINT AND RUST AND REPAINT OR REPLACE THE SHELVES. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOOD HANDLERS WITH EXPIRED FOOD HANDLER TRAINING CERTIFICATES. INSTRUCTED TO PROVIDE AND MAINTAIN CURRENT CERTIFICATES FOR EACH EMPLOYEE. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: CERTIFIED FOOD MANAGERS WITH EXPIRED FOOD ALLERGEN TRAINING CERTIFICATES. INSTRUCTED TO PROVIDE AND MAINTAIN CURRENT FOOD ALLERGEN TRAINING CERTIFICATES FOR CITY OF CHICAGO MANAGERS. | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: OBSERVED NO WRITTEN RECORD DESCRIBING THE PROTOCOL FOR CHECKING PROOF OF VACCINATION IN PUBLIC PLACES.INSTRUCTED TO PROVIDE AND MAINTAIN AS REQUIRED. | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: OBSERVED NO RECORDS OF EMPLOYEE VACCINATION STATUS OR WEEKLY TESTING PER PUBLIC HEALTH ORDER EXHIBIT A.",41.95362464,-87.71931085
2410,STARBUCKS COFFEE #228,Restaurant,Risk 2 (Medium),1001 W ARMITAGE AVE ,60614.0,2022,Canvass,Fail,"41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: MUST STORE WIPING CLOTHS IN PREP AREAS IN SANITIZER BUCKET BETWEEN USES TO PREVENT CROSS-CONTAMINATION. INSTRUCTED TO MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: BROKEN RUBBER GASKET INSIDE THE DOOR OF REACH-IN COOLERS AT FRONT PREP/SERVING AREA.REPLACE | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: NO IRREVERSIBLE REGISTERING TEMPERATURE INDICATORS FOR HIGH-TEMPERATURE DISH MACHINES. INSTRUCTED TO PROVIDE AN IRREVERSIBLE REGISTERING TEMPERATURE INDICATOR, SUCH AS STRIPS/STICKERS OR THERMOMETER.  PRIORITY FOUNDATION VIOLATION: 7-38-005. CITATION ISSUED.",41.9179944,-87.65341562
2411,BOUKAROU LUNCH,Restaurant,Risk 1 (High),5973 N CLARK ST ,60660.0,2022,Canvass,Fail,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO WRITTEN CLEANING PROCEDURE FOR A VOMIT/DIARRHEA EVENT OR REQUIRED EQUIPMENT. MUST PROVIDE. PRIORITY FOUNDATION VIOLATION 7-38-005 CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO PAPER TOWELS ARE AVAILABLE AT THE COOKS LINE HAND SINK OR THE EMPLOYEE WASHROOM WASHBOWL. MUST PROVIDE HAND DRYING PROVISIONS AT ALL HANDWASHING SINKS. PRIORITY FOUNDATION VIOLATION SEE VIOLATION #10 ABOVE FOR CITATION. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: DISHWASHING HAND SINK NOT ACCESSIBLE FOR USE. SINK BLOCKED BY POTS AND PANS STORED IN FRONT OF THE SINK AND INSIDE THE SINK. HANDWASHING SINKS MUST BE ACCESSIBLE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-030(C) CITATION ISSUED. | 21. PROPER HOT HOLDING TEMPERATURES - Comments: OBSERVED COOKED MEAT AND SHRIMP BEING HELD IN A PAN ON THE STOVETOP AT AN IMPROPER TEMPERATURE OF 74.6F. FOOD DISCARDED. REVIEWED ALL HOT FOODS MUST BE HELD HOT AT A MINIMUM OF 135F OR ABOVE. PRIORITY VIOLATION 7-38-005 CITATION ISSUED. | 22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED RAW CHICKEN BEING HELD AT IMPROPER COLD HOLDING TEMPERATURE OF 45.8F IN THE REAR TWO-DOOR TALL REACH-IN COOLER. REVIEWED ALL COLD FOODS MUST BE HELD AT 41F OR BELOW. PRIORITY VIOLATION. SEE THE ABOVE VIOLATION #21 FOR CITATION. | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: OBSERVED THOSE MENTIONED ABOVE TWO-DOOR TALL REACH-IN COOLER UNABLE TO MAINTAIN ADEQUATE TEMPERATURES. COOLER NOTED AT 51.8F WITH CHICKEN AT 45.8F. COOLER TAGGED HELD FOR INSPECTION AND MUST NOT USE UNTIL REPAIRED, MAINTAINS A TEMPERATURE OF 41F OR BELOW, AND C.D.P.H CONTACTED FOR RE-INSPECTION AND TAG REMOVAL. PRIORITY VIOLATION 7-38-005 CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: NO PEST CONTROL LOGBOOK ON-SITE AVAILABLE FOR REVIEW. MUST PROVIDE A PEST CONTROL LOGBOOK WITH A CURRENT PEST SERVICE REPORT AND ALL OTHER REQUIRED DOCUMENTATION. PRIORITY FOUNDATION VIOLATION 7-38-020(C) CITATION ISSUED. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: PREP AREA WIPING CLOTHS MUST BE HELD IN A SANITIZING SOLUTION BETWEEN USE. | 44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: CLEAN POTS/PANS/UTENSILS MUST NOT BE STORED ON THE FLOOR OF THE DISH ROOM. | 45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments: ALL ITEMS THROUGHOUT MUST BE ELEVATED FROM THE FLOORS.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: COOKS LINE YELLOW CUTTING BOARD IN POOR REPAIR WITH DEEP BLACKENED GROOVES/CUTS. MUST REPLACE. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: NO CHLORINE CHEMICAL TEST STRIPS ON SITE TO MONITOR SANITIZING LEVELS FOR THE CHLORINE SANITIZER PROVIDED ON SITE. MUST PROVIDE. PRIORITY FOUNDATION VIOLATION 7-38-005 CITATION ISSUED. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: SHELVING THROUGHOUT FACILITY WITH DIRT AND DEBRIS. MUST CLEAN AND MAINTAIN.----MUST NOT USE PAPER TOWELS AS LINER FOR SHELVING. MUST BE SMOOTH CLEANABLE SURFACE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INTERIOR AND EXTERIOR OF ALL COOLERS AND FREEZERS, COOKS LINE EQUIPMENT, MICROWAVE OVENS DIRTY WITH FOOD DEBRIS AND GREASE. MUST CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: LEAK UNDER THE THREE COMPARTMENT SINK INTO A BUCKET. MUST REPAIR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: ALL UNNECESSARY ITEMS THROUGHOUT THE REAR NEAR THE CUSTOMER WASHROOM MUST BE REMOVED FROM THE PREMISES AND ALL OTHER NEEDED STORED ITEMS MUST BE STORED ELEVATED AND ORGANIZED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: SOILED MOP HEAD STORED IMPROPER ON THE FLOOR. MUST STORE INVERTED/HANGING ABOVE THE UTILITY SERVICE SINK. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS THROUGHOUT THE FACILITY UNDER ALL EQUIPMENT, SHELVING, PREP TABLES COOLERS WITH DIRT, GREASE AND DEBRIS. MUST CLEAN AND MAINTAIN.----RAW WOODEN WALLS IN THE KITCHEN PREP MUST BE PAINTED/SEALED.----MISSING AND WATER DAMAGED CEILING TILES THROUGHOUT MUST REPLACE.----EXCESSIVE DUST AND DIRT ON THE REAR KITCHEN CEILING VENT. MUST CLEAN AND MAINTAIN. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: NO PROOF OF FOOD HANDLER TRAINING FOR THE EMPLOYEE ON SITE. MUST PROVIDE FOR ALL FOOD HANDLERS. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: NO PROOF OF ALLERGEN TRAINING OR CERTIFICATE ON SITE FOR THE CITY OF CHICAGO CERTIFIED FOOD MANAGER. MUST PROVIDE.",41.99058563,-87.66986968
2412,SHRIMP ISLAND,Restaurant,Risk 1 (High),5358 W GRAND AVE ,60639.0,2022,License Re-Inspection,Pass,,41.91792892,-87.76069948
2413,CHICAGO MARKET,Restaurant,Risk 3 (Low),5700 S CICERO AVE ,60638.0,2022,Complaint,Pass,,41.78932932,-87.74164564
2414,MIS MOLES RESTAURANTE,Restaurant,Risk 1 (High),3661-3665 N ELSTON AVE ,60618.0,2022,Complaint Re-Inspection,Pass,,41.94792705,-87.7105289
2416,MISS ANN'S,Restaurant,Risk 1 (High),6652 S LANGLEY AVE ,60637.0,2022,License,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN A SMALL GARBAGE CAN WITH A LID IN THE EMPLOYEES WASHROOM. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: INSTRUCTED MANAGER TO COMPLY WITH THE IDPH FOOD HANDLER REQUIREMENTS OR CITATIONS WILL FOLLOW. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: INSTRUCTED MANAGER THAT ALL CITY CERTIFIED MANAGER MUST HAVE AND MAINTAIN ALLERGEN TRAINING AS REQUIRED OR CITATIONS WILL FOLLOW.",41.77335695,-87.60837592
2418,THREE D'S JERK CHICKEN,Restaurant,Risk 1 (High),5317 W North AVE ,60639.0,2022,Canvass Re-Inspection,Pass,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED BULK FOOD CONTAINERS ON PREMISES WITHOUT A LABEL (FLOUR, SUGAR, ETC). INSTRUCTED TO PROVIDE THE COMMON NAME ON BULK CONTAINERS TO PROPERLY IDENTIFY FOOD ITEM. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: FOUND DIRT AND DEBRIS BUILD UP ON THE WIRE RACKS ABOVE THE THREE COMPARTMENT SINK. INSTRUCTED MANAGEMENT TO CLEAN AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: FOUND NO COVERED WASTE RECEPTACLE INSIDE THE EMPLOYEE UNISEX WASHROOM. MUST PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND HEAVY DIRT ACCUMULATION ON THE FLOORS UNDERNEATH THE DRY STORAGE RACKS IN THE BASEMENT AREA AND IN THE 1ST FLOOR DRY STORAGE ROOM. MUST CLEAN AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: FOUND HEAVY DUST BUILD UP ON THE FAN COVERS INSIDE THE WALK-IN COOLER. MUST CLEAN AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: FOUND INADEQUATE LIGHTING IN THE BASEMENT DRY STORAGE AREAS. INSTRUCTED MANAGEMENT TO PROVIDE ADEQUATE LIGHTING AND MAINTAIN.",41.9093526,-87.75879995
